A1,B1,C1,C3,D1,E1,F,G,H,I,D2,E2,A2,B2,C2,Target
3,0,0,0,0,0,39.39,8.32,0,4.36,0.0,0.0,6.88,0.0,0.0,0
1,0,0,0,0,0,19.33,16.8,1,0.63,0.0,0.0,15.85,0.0,0.0,0
1,0,0,0,0,0,49.35,9.75,1,1.92,0.0,0.0,5.22,0.0,0.0,0
3,0,0,0,0,0,37.03,4.61,0,3.67,0.0,0.0,8.17,0.0,0.0,0
21,0,0,0,0,0,47.48,0.23,0,15.26,0.0,0.0,13.76,0.0,0.0,0
40,0,0,0,0,0,59.95,19.37,1,48.83,0.0,0.0,8.19,0.0,0.0,0
2,0,0,0,0,0,40.54,0.24,0,12.98,0.0,0.0,1.54,0.0,0.0,0
26,0,0,0,0,0,45.72,1.99,0,17.96,0.0,0.0,14.47,0.0,0.0,0
3,0,0,0,0,0,63.3,21.67,1,1.04,0.0,0.0,28.82,0.0,0.0,0
44,0,0,0,0,0,39.37,1.4,0,45.19,0.0,0.0,9.74,0.0,0.0,0
122,1,0,0,0,0,43.17,1.07,0,140.5,0.0,0.0,8.68,7.12,0.0,0
18,0,0,0,0,0,37.01,1.87,0,33.79,0.0,0.0,5.33,0.0,0.0,0
1,0,0,0,0,0,34.54,13.89,1,0.44,0.0,0.0,22.57,0.0,0.0,0
1,0,0,0,0,0,60.99,16.7,1,3.76,0.0,0.0,2.66,0.0,0.0,0
30,0,0,0,0,0,46.84,0.23,0,49.09,0.0,0.0,6.11,0.0,0.0,0
3,0,0,0,0,0,35.02,4.58,0,6.17,0.0,0.0,4.86,0.0,0.0,0
9,0,0,0,0,0,45.07,0.92,0,27.31,0.0,0.0,3.3,0.0,0.0,0
2,0,0,0,0,0,39.65,0.05,0,1.08,0.0,0.0,18.57,0.0,0.0,0
11,0,3,1,0,0,66.31,23.68,1,16.27,0.0,0.0,6.76,0.0,184.42,0
15,0,0,0,0,0,40.56,4.47,0,9.7,0.0,0.0,15.46,0.0,0.0,0
3,0,0,0,0,0,38.78,2.0,0,7.99,0.0,0.0,3.76,0.0,0.0,0
73,0,0,0,0,0,61.81,15.96,1,207.1,0.0,0.0,3.52,0.0,0.0,0
5,0,0,0,0,0,38.98,1.79,0,21.48,0.0,0.0,2.33,0.0,0.0,0
4,0,0,0,0,0,40.02,1.61,0,1.62,0.0,0.0,24.71,0.0,0.0,0
3,0,0,0,0,0,41.62,0.02,0,2.31,0.0,0.0,12.99,0.0,0.0,0
41,0,0,0,0,0,38.21,2.57,0,48.0,0.0,0.0,8.54,0.0,0.0,0
40794,343,1,1,76,45,43.96,1.07,0,64935.96,0.01,0.01,6.28,5.28,0.02,0
3,0,0,0,0,0,63.81,16.1,1,1.4,0.0,0.0,21.41,0.0,0.0,0
1,0,0,0,0,0,46.62,1.81,0,0.67,0.0,0.0,15.04,0.0,0.0,0
8,0,0,0,0,0,22.1,1.01,0,19.87,0.0,0.0,4.03,0.0,0.0,0
1,0,0,0,0,0,63.92,15.49,1,1.03,0.0,0.0,9.7,0.0,0.0,0
35,0,0,0,0,0,39.71,0.26,0,115.01,0.0,0.0,3.04,0.0,0.0,0
1,0,0,0,0,0,58.67,10.96,0,1.32,0.0,0.0,7.57,0.0,0.0,0
1,0,0,0,0,0,45.36,5.76,0,1.02,0.0,0.0,9.78,0.0,0.0,0
37,0,0,0,0,0,43.0,2.14,0,38.6,0.0,0.0,9.59,0.0,0.0,0
47,0,0,0,1,1,46.63,0.44,0,61.69,0.16,0.16,7.62,0.0,0.0,0
2,0,0,0,0,0,47.8,6.17,0,1.25,0.0,0.0,15.99,0.0,0.0,0
5,0,0,0,0,0,42.29,5.78,0,4.46,0.0,0.0,11.21,0.0,0.0,0
20,0,0,0,0,0,42.58,6.45,0,43.49,0.0,0.0,4.6,0.0,0.0,0
3,0,0,0,0,0,42.91,1.76,0,33.63,0.0,0.0,0.89,0.0,0.0,0
90,0,0,0,0,0,34.15,5.45,0,151.69,0.0,0.0,5.93,0.0,0.0,0
20,0,0,0,0,0,46.9,0.17,0,18.25,0.0,0.0,10.96,0.0,0.0,0
2,0,0,0,0,0,38.09,9.62,0,1.21,0.0,0.0,16.49,0.0,0.0,0
604,5,1,0,23,80,41.8,0.3,0,1729.42,0.13,0.46,3.49,2.89,0.58,0
3,0,0,0,0,0,32.12,15.59,1,13.08,0.0,0.0,2.29,0.0,0.0,0
60,0,0,0,0,0,40.49,1.31,0,68.53,0.0,0.0,8.75,0.0,0.0,0
201,0,0,0,0,1,46.41,1.65,0,267.15,0.0,0.04,7.52,0.0,0.0,0
4,0,0,0,0,0,28.05,12.73,1,14.91,0.0,0.0,2.68,0.0,0.0,0
1,0,0,0,0,0,46.19,2.24,0,0.63,0.0,0.0,15.87,0.0,0.0,0
1,0,0,0,0,0,35.04,1.09,0,94.89,0.0,0.0,0.11,0.0,0.0,0
53,0,1,0,0,0,34.76,8.93,0,103.3,0.0,0.0,5.13,0.0,9.68,0
146,0,0,0,0,0,40.85,0.88,0,398.91,0.0,0.0,3.66,0.0,0.0,0
29,0,0,0,0,0,39.93,3.8,0,34.51,0.0,0.0,8.4,0.0,0.0,0
2,0,0,0,0,0,18.76,24.93,1,7.41,0.0,0.0,2.7,0.0,0.0,0
19,0,0,0,0,0,47.48,2.32,0,38.13,0.0,0.0,4.98,0.0,0.0,0
43,0,0,0,0,0,40.79,1.01,0,59.54,0.0,0.0,7.22,0.0,0.0,0
390,0,0,0,0,0,52.55,4.49,0,430.71,0.0,0.0,9.05,0.0,0.0,0
291,0,0,0,0,0,37.62,1.75,0,337.93,0.0,0.0,8.61,0.0,0.0,0
1,1,0,0,0,0,47.34,1.09,0,1.05,0.0,0.0,9.51,950.57,0.0,0
2,0,0,0,0,0,46.59,4.96,0,1.29,0.0,0.0,15.48,0.0,0.0,0
3,0,0,0,0,0,48.35,1.45,0,41.88,0.0,0.0,0.72,0.0,0.0,0
1,0,0,0,0,0,35.35,0.78,0,53.13,0.0,0.0,0.19,0.0,0.0,0
1,0,1,1,0,0,46.75,1.68,0,1.19,0.0,0.0,8.44,0.0,843.88,0
35,0,0,0,0,0,47.92,0.86,0,52.87,0.0,0.0,6.62,0.0,0.0,0
2,0,0,0,0,0,23.24,21.05,1,5.55,0.0,0.0,3.61,0.0,0.0,0
2,0,0,0,0,0,65.64,24.0,1,19.24,0.0,0.0,1.04,0.0,0.0,0
40,0,0,0,0,0,55.3,19.17,1,53.59,0.0,0.0,7.46,0.0,0.0,0
277,0,0,0,0,0,37.11,10.6,0,204.71,0.0,0.0,13.53,0.0,0.0,0
26,0,0,0,0,0,53.5,0.42,0,25.02,0.0,0.0,10.39,0.0,0.0,0
20,0,0,0,0,0,47.05,0.02,0,40.0,0.0,0.0,5.0,0.0,0.0,0
1,0,0,0,0,0,52.63,8.33,0,3.27,0.0,0.0,3.06,0.0,0.0,0
1,0,0,0,0,0,46.23,4.59,0,2.57,0.0,0.0,3.89,0.0,0.0,0
1,0,0,0,0,0,38.64,2.99,0,1.27,0.0,0.0,7.89,0.0,0.0,0
1,0,0,0,0,0,41.51,0.12,0,1.31,0.0,0.0,7.65,0.0,0.0,0
45,0,0,0,0,0,53.89,0.04,0,36.23,0.0,0.0,12.42,0.0,0.0,0
4,0,0,0,0,0,28.33,15.96,1,15.24,0.0,0.0,2.63,0.0,0.0,0
66,0,0,0,0,0,47.91,0.84,0,80.0,0.0,0.0,8.25,0.0,0.0,0
1,0,0,0,0,0,34.66,1.47,0,63.84,0.0,0.0,0.16,0.0,0.0,0
3,0,0,0,0,0,47.48,6.35,1,120.87,0.0,0.0,0.25,0.0,0.0,0
1,0,13,1,0,0,57.19,12.52,1,46.31,0.0,0.0,0.22,0.0,280.7,0
1,0,0,0,0,0,52.8,8.5,0,7.37,0.0,0.0,1.36,0.0,0.0,0
1,0,0,0,0,0,37.09,3.69,0,3.99,0.0,0.0,2.51,0.0,0.0,0
58,0,0,0,0,0,46.57,0.01,0,44.9,0.0,0.0,12.92,0.0,0.0,0
1,0,0,0,0,0,55.79,12.1,0,1.1,0.0,0.0,9.12,0.0,0.0,0
1,0,0,0,0,0,33.28,2.51,0,1.38,0.0,0.0,7.25,0.0,0.0,0
1712,0,0,0,1,0,37.57,10.14,0,1221.37,0.01,0.0,14.02,0.0,0.0,0
1,0,0,0,0,0,40.24,4.11,0,39.5,0.0,0.0,0.25,0.0,0.0,0
6,0,0,0,0,0,32.64,3.23,0,2.98,0.0,0.0,20.13,0.0,0.0,0
5,0,0,0,0,0,39.42,2.22,0,1.99,0.0,0.0,25.08,0.0,0.0,0
2,0,0,0,0,0,39.81,0.96,0,3.77,0.0,0.0,5.3,0.0,0.0,0
1,0,0,0,0,0,44.75,3.97,0,6.99,0.0,0.0,1.43,0.0,0.0,0
1,0,0,0,0,0,40.52,4.39,0,21.88,0.0,0.0,0.46,0.0,0.0,0
1,0,0,0,0,0,34.27,4.0,0,3.91,0.0,0.0,2.56,0.0,0.0,0
95,0,0,0,0,0,37.87,2.0,0,123.22,0.0,0.0,7.71,0.0,0.0,0
1,0,139,9,0,0,45.43,2.54,0,45.52,0.0,0.0,0.22,0.0,3053.67,0
1,0,0,0,0,0,41.18,7.25,0,0.87,0.0,0.0,11.53,0.0,0.0,0
1,0,0,0,0,0,53.99,12.35,1,1.01,0.0,0.0,9.85,0.0,0.0,0
2,0,0,0,0,0,26.81,21.26,1,301.52,0.0,0.0,0.07,0.0,0.0,0
30,0,0,0,0,0,47.39,0.33,0,60.0,0.0,0.0,5.0,0.0,0.0,0
1,0,0,0,0,0,0.0,0.0,0,17.67,0.0,0.0,0.57,0.0,0.0,0
1,0,0,0,0,0,41.68,0.05,0,3.04,0.0,0.0,3.29,0.0,0.0,0
84,0,0,0,0,0,51.69,3.62,0,205.63,0.0,0.0,4.09,0.0,0.0,0
2,0,0,0,0,0,36.44,3.16,0,0.58,0.0,0.0,34.54,0.0,0.0,0
38,0,0,0,0,0,53.85,5.79,0,58.9,0.0,0.0,6.45,0.0,0.0,0
2,0,0,0,0,0,44.91,0.62,0,20.17,0.0,0.0,0.99,0.0,0.0,0
196,0,0,0,2,0,47.65,0.59,0,240.0,0.08,0.0,8.17,0.0,0.0,0
2,0,0,0,0,0,28.68,12.95,1,12.45,0.0,0.0,1.61,0.0,0.0,0
2,0,0,0,0,0,58.19,9.76,1,1.14,0.0,0.0,17.61,0.0,0.0,0
75,0,0,0,25,0,19.9,16.23,1,479.04,0.52,0.0,1.57,0.0,0.0,0
4,0,0,0,25,1,29.43,3.51,1,5.91,42.33,1.69,6.77,0.0,0.0,1
1,0,0,0,0,0,50.73,2.67,0,15.25,0.0,0.0,0.66,0.0,0.0,0
58,0,0,0,0,0,48.96,1.89,1,100.0,0.0,0.0,5.8,0.0,0.0,0
419,0,0,0,0,1,37.16,2.59,0,437.46,0.0,0.02,9.58,0.0,0.0,0
64,0,0,0,0,0,49.61,2.54,1,80.0,0.0,0.0,8.0,0.0,0.0,0
18,0,0,0,0,0,56.1,8.04,1,16.25,0.0,0.0,11.08,0.0,0.0,0
1,0,0,0,0,0,33.87,1.92,0,1.23,0.0,0.0,8.12,0.0,0.0,0
3,0,0,0,0,0,45.78,4.14,0,1.61,0.0,0.0,18.63,0.0,0.0,0
46,0,0,0,0,0,45.03,2.4,0,126.17,0.0,0.0,3.65,0.0,0.0,0
3,0,0,0,0,0,40.85,1.1,0,11.4,0.0,0.0,2.63,0.0,0.0,0
2,0,0,0,0,0,44.57,3.79,0,7.01,0.0,0.0,2.85,0.0,0.0,0
1,0,0,0,0,0,18.06,18.07,1,6.37,0.0,0.0,1.57,0.0,0.0,0
108,0,0,0,0,0,42.85,1.45,0,87.32,0.0,0.0,12.37,0.0,0.0,0
1,0,0,0,0,0,57.73,14.04,1,1.27,0.0,0.0,7.89,0.0,0.0,0
1,0,0,0,0,0,56.75,15.12,1,1.21,0.0,0.0,8.29,0.0,0.0,0
1463,0,0,0,0,0,36.87,10.83,0,966.52,0.0,0.0,15.14,0.0,0.0,0
4,0,0,0,0,0,51.22,3.15,0,21.61,0.0,0.0,1.85,0.0,0.0,0
1,0,0,0,0,0,36.47,5.17,0,1.15,0.0,0.0,8.7,0.0,0.0,0
1,0,0,0,0,0,70.97,23.26,1,1.24,0.0,0.0,8.06,0.0,0.0,0
6,0,0,0,0,0,41.25,0.86,0,9.4,0.0,0.0,6.38,0.0,0.0,0
4,0,0,0,0,0,24.37,5.91,1,26.58,0.0,0.0,1.5,0.0,0.0,0
3,0,0,0,0,0,24.92,19.37,1,9.61,0.0,0.0,3.12,0.0,0.0,0
1,0,0,0,0,0,34.92,1.21,0,23.81,0.0,0.0,0.42,0.0,0.0,0
256,0,0,0,0,0,36.73,3.32,0,250.0,0.0,0.0,10.24,0.0,0.0,0
6,0,0,0,0,0,43.62,0.68,0,9.87,0.0,0.0,6.08,0.0,0.0,0
3061,0,0,0,0,0,41.74,0.88,0,3637.25,0.0,0.0,8.42,0.0,0.0,0
4,0,0,0,0,0,18.69,0.76,0,4.51,0.0,0.0,8.86,0.0,0.0,0
3,0,0,0,0,0,38.93,1.85,0,11.04,0.0,0.0,2.72,0.0,0.0,0
2,0,0,0,0,0,23.11,25.32,1,1.74,0.0,0.0,11.53,0.0,0.0,0
3,0,0,0,0,0,43.27,1.63,0,2.18,0.0,0.0,13.78,0.0,0.0,0
5,0,0,0,0,0,37.58,3.2,0,8.99,0.0,0.0,5.56,0.0,0.0,0
13,0,50,16,0,0,49.29,8.16,1,274.17,0.0,0.0,0.47,0.0,182.37,0
1,0,0,0,0,0,42.91,1.76,0,31.49,0.0,0.0,0.32,0.0,0.0,0
1,0,0,0,0,0,52.36,8.07,0,10.0,0.0,0.0,1.0,0.0,0.0,0
10,0,0,0,0,0,50.66,3.27,1,8.96,0.0,0.0,11.17,0.0,0.0,0
1,0,0,0,0,0,40.73,1.13,0,1.67,0.0,0.0,6.0,0.0,0.0,0
2,0,0,0,0,0,39.97,0.37,0,0.66,0.0,0.0,30.17,0.0,0.0,0
210,0,0,0,0,0,41.71,0.86,0,453.34,0.0,0.0,4.63,0.0,0.0,0
1452,0,0,0,0,0,40.93,0.07,0,1388.32,0.0,0.0,10.46,0.0,0.0,0
1,0,0,0,0,0,35.32,0.81,0,12.82,0.0,0.0,0.78,0.0,0.0,0
4,0,0,0,0,0,23.29,21.01,1,14.01,0.0,0.0,2.86,0.0,0.0,0
1,0,0,0,0,0,45.98,7.48,0,38.36,0.0,0.0,0.26,0.0,0.0,0
28,0,0,0,0,0,49.34,1.63,0,24.18,0.0,0.0,11.58,0.0,0.0,0
4,0,0,0,0,0,37.24,4.4,0,2.17,0.0,0.0,18.39,0.0,0.0,0
4,0,0,0,0,0,37.01,4.11,0,231.69,0.0,0.0,0.17,0.0,0.0,0
1,0,0,0,0,0,44.51,4.91,0,0.51,0.0,0.0,19.61,0.0,0.0,0
34,1,0,0,0,0,46.41,0.66,0,40.0,0.0,0.0,8.5,25.0,0.0,0
133,0,0,0,0,0,37.51,3.35,0,153.41,0.0,0.0,8.67,0.0,0.0,0
2,0,0,0,0,0,31.89,11.8,0,9.48,0.0,0.0,2.11,0.0,0.0,0
6,0,0,0,0,0,43.29,1.19,0,40.62,0.0,0.0,1.48,0.0,0.0,0
1,0,0,0,0,0,43.75,3.01,0,36.34,0.0,0.0,0.28,0.0,0.0,0
9,0,0,0,0,0,45.75,9.61,1,41.76,0.0,0.0,2.15,0.0,0.0,0
43,0,0,0,0,0,44.22,6.25,1,106.58,0.0,0.0,4.03,0.0,0.0,0
3,0,0,0,0,0,50.78,9.15,0,3.82,0.0,0.0,7.85,0.0,0.0,0
63,0,0,0,0,0,40.91,1.73,0,61.62,0.0,0.0,10.22,0.0,0.0,0
1,0,0,0,0,0,41.65,0.02,0,1.25,0.0,0.0,8.03,0.0,0.0,0
1,0,0,0,0,0,52.52,8.23,0,4.29,0.0,0.0,2.33,0.0,0.0,0
48,0,0,0,0,0,42.89,2.11,0,45.15,0.0,0.0,10.63,0.0,0.0,0
2541,0,0,0,0,0,43.36,2.5,0,2989.46,0.0,0.0,8.5,0.0,0.0,0
4,0,43,18,0,0,39.77,4.91,1,204.01,0.0,0.0,0.2,0.0,210.78,0
3320,2,0,0,0,0,44.74,2.97,0,2120.7,0.0,0.0,15.66,0.94,0.0,0
1,0,0,0,0,0,41.41,5.28,0,33.91,0.0,0.0,0.29,0.0,0.0,0
2,0,0,0,0,0,50.55,2.12,0,1.0,0.0,0.0,19.94,0.0,0.0,0
1,0,0,0,0,0,29.69,6.18,1,1.47,0.0,0.0,6.79,0.0,0.0,0
16,0,0,0,0,0,34.64,7.17,1,14.62,0.0,0.0,10.94,0.0,0.0,0
1,0,0,0,0,0,53.32,5.61,0,1.18,0.0,0.0,8.5,0.0,0.0,0
1018,0,0,0,1,0,57.89,9.2,0,759.41,0.01,0.0,13.41,0.0,0.0,0
5,0,0,0,0,0,38.51,2.17,0,4.21,0.0,0.0,11.87,0.0,0.0,0
2,0,0,0,0,0,42.07,2.47,0,1.41,0.0,0.0,14.16,0.0,0.0,0
6,0,0,0,0,0,51.69,4.41,0,4.64,0.0,0.0,12.92,0.0,0.0,0
4,0,0,0,0,0,51.66,10.88,1,7.2,0.0,0.0,5.55,0.0,0.0,0
9,0,0,0,0,0,43.23,3.35,1,38.15,0.0,0.0,2.36,0.0,0.0,0
19600,38,0,0,6,50,43.36,0.09,0,23583.83,0.0,0.02,8.31,1.61,0.0,0
2,0,0,0,0,0,27.42,16.87,1,5.98,0.0,0.0,3.34,0.0,0.0,0
37,0,0,0,0,0,45.22,3.11,0,40.4,0.0,0.0,9.16,0.0,0.0,0
1,0,0,0,0,0,46.21,4.57,0,1.33,0.0,0.0,7.51,0.0,0.0,0
36,1,0,0,0,0,43.02,3.56,1,168.89,0.0,0.0,2.13,5.92,0.0,0
4,0,0,0,0,0,45.06,3.22,0,9.7,0.0,0.0,4.12,0.0,0.0,0
57,0,0,0,0,0,45.91,1.16,0,80.0,0.0,0.0,7.12,0.0,0.0,0
1,0,0,0,0,0,40.58,0.19,0,10.19,0.0,0.0,0.98,0.0,0.0,0
5,0,0,0,0,0,40.43,0.35,0,13.99,0.0,0.0,3.57,0.0,0.0,0
1,0,0,0,0,0,34.15,1.65,0,1.39,0.0,0.0,7.22,0.0,0.0,0
28,0,0,0,0,0,54.92,1.0,0,22.62,0.0,0.0,12.38,0.0,0.0,0
5,0,0,0,0,0,34.65,3.31,0,47.09,0.0,0.0,1.06,0.0,0.0,0
30,0,0,0,0,0,47.04,0.03,0,40.0,0.0,0.0,7.5,0.0,0.0,0
1,0,0,0,0,0,68.72,27.08,1,1.63,0.0,0.0,6.15,0.0,0.0,0
9,0,0,0,0,0,18.5,1.78,0,35.8,0.0,0.0,2.51,0.0,0.0,0
1,0,0,0,0,0,41.97,6.1,0,0.75,0.0,0.0,13.28,0.0,0.0,0
384,1,0,0,25,0,45.18,3.5,0,311.13,0.8,0.0,12.34,3.21,0.0,0
48,0,0,0,0,0,40.04,0.82,0,48.27,0.0,0.0,9.94,0.0,0.0,0
1,0,0,0,0,0,50.05,1.62,0,1.02,0.0,0.0,9.81,0.0,0.0,0
1,0,0,0,0,0,34.72,1.08,0,1.37,0.0,0.0,7.31,0.0,0.0,0
15,0,0,0,0,0,44.95,7.61,1,160.34,0.0,0.0,0.94,0.0,0.0,0
60,0,0,0,0,0,51.08,3.37,0,62.85,0.0,0.0,9.55,0.0,0.0,0
2,0,0,0,0,0,34.38,5.21,0,1.01,0.0,0.0,19.7,0.0,0.0,0
336,1,0,0,0,0,61.26,12.58,1,245.38,0.0,0.0,13.69,4.08,0.0,0
2,0,0,0,0,0,19.5,7.1,0,25.3,0.0,0.0,0.79,0.0,0.0,0
1,0,0,0,0,0,45.47,2.96,0,1.47,0.0,0.0,6.82,0.0,0.0,0
3,0,0,0,0,0,36.49,5.14,0,1.49,0.0,0.0,20.16,0.0,0.0,0
4,0,0,0,0,0,40.65,1.05,0,2.37,0.0,0.0,16.85,0.0,0.0,0
4,0,0,0,0,0,60.03,6.58,0,13.74,0.0,0.0,2.91,0.0,0.0,0
2,0,0,0,0,0,34.88,6.75,0,1.03,0.0,0.0,19.38,0.0,0.0,0
1,0,0,0,0,0,54.35,5.99,0,44.57,0.0,0.0,0.22,0.0,0.0,0
2,0,0,0,0,0,51.94,7.65,0,11.58,0.0,0.0,1.73,0.0,0.0,0
2,0,0,0,0,0,35.61,0.52,0,53.82,0.0,0.0,0.37,0.0,0.0,0
86,0,0,0,0,3,47.01,0.06,0,120.0,0.0,0.25,7.17,0.0,0.0,0
7,0,0,0,0,0,48.2,1.6,0,24.44,0.0,0.0,2.86,0.0,0.0,0
104,0,0,0,0,0,30.58,3.55,1,130.79,0.0,0.0,7.95,0.0,0.0,0
9,0,0,0,0,0,35.75,5.89,0,7.58,0.0,0.0,11.87,0.0,0.0,0
6,0,0,0,0,0,37.69,3.09,0,15.13,0.0,0.0,3.97,0.0,0.0,0
2,0,0,0,0,0,35.95,3.65,0,1.19,0.0,0.0,16.88,0.0,0.0,0
1,0,0,0,0,0,60.93,16.64,1,3.77,0.0,0.0,2.65,0.0,0.0,0
17,0,0,0,0,0,38.51,2.38,0,11.43,0.0,0.0,14.87,0.0,0.0,0
121,0,0,0,0,0,37.47,5.16,0,121.28,0.0,0.0,9.98,0.0,0.0,0
1,0,0,0,0,0,61.56,17.27,1,5.59,0.0,0.0,1.79,0.0,0.0,0
38,0,0,0,0,0,36.57,0.7,0,42.33,0.0,0.0,8.98,0.0,0.0,0
1,0,0,0,0,0,52.8,8.5,0,3.27,0.0,0.0,3.06,0.0,0.0,0
27,0,0,0,0,0,43.97,3.72,0,48.87,0.0,0.0,5.52,0.0,0.0,0
1,0,0,0,0,0,46.27,2.58,0,1.44,0.0,0.0,6.97,0.0,0.0,0
2,0,0,0,0,0,42.44,2.84,0,1.27,0.0,0.0,15.75,0.0,0.0,0
2,0,0,0,0,0,50.02,8.39,0,2.3,0.0,0.0,8.71,0.0,0.0,0
1,0,0,0,0,0,35.13,0.67,0,1.0,0.0,0.0,9.98,0.0,0.0,0
1,0,0,0,0,0,52.16,7.86,0,16.66,0.0,0.0,0.6,0.0,0.0,0
1,0,1,1,0,0,47.37,1.06,0,1.04,0.0,0.0,9.57,0.0,956.94,0
2214,2,0,0,0,0,45.05,2.66,0,1369.02,0.0,0.0,16.17,1.46,0.0,0
1,0,0,0,25,25,44.22,0.95,0,17.58,14.22,14.22,0.57,0.0,0.0,1
207,0,0,0,1,0,47.73,1.46,0,272.86,0.04,0.0,7.59,0.0,0.0,0
2,0,0,0,0,0,32.47,2.19,0,1.15,0.0,0.0,17.36,0.0,0.0,0
1,0,0,0,0,0,56.14,7.71,1,0.38,0.0,0.0,26.11,0.0,0.0,0
2223,1,7,3,25,30,38.07,2.02,0,2563.65,0.1,0.12,8.67,0.39,2.73,0
55,0,0,0,0,0,46.47,0.6,0,100.0,0.0,0.0,5.5,0.0,0.0,0
214,0,0,0,0,0,54.29,0.37,0,182.66,0.0,0.0,11.72,0.0,0.0,0
2934,1,0,0,4,0,46.45,1.26,0,1832.75,0.02,0.0,16.01,0.55,0.0,0
1,0,0,0,0,0,14.51,7.13,1,10.29,0.0,0.0,0.97,0.0,0.0,0
1,0,0,0,0,0,60.37,16.08,1,5.01,0.0,0.0,1.99,0.0,0.0,0
